,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State,Mean
0,2001.0,3.3,3.5,3.7,3.8,3.9,4.0,4.2,4.4,4.7,4.9,5.1,5.3,Indiana,4.23
0,2001.0,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.9,4.9,5.0,5.1,5.2,New Mexico,4.92
0,2001.0,3.5,3.6,3.6,3.7,3.7,3.8,3.9,4.1,4.3,4.5,4.8,4.9,Georgia,4.03
0,2001.0,4.2,4.2,4.2,4.2,4.4,4.5,4.7,5.0,5.3,5.5,5.8,6.0,New York,4.83
0,2001.0,6.1,6.1,6.1,6.2,6.3,6.3,6.4,6.5,6.5,6.6,6.6,6.6,District of Columbia,6.36
0,2001.0,3.0,3.1,3.2,3.4,3.5,3.6,3.7,3.9,4.1,4.2,4.4,4.6,Massachusetts,3.72
0,2001.0,4.5,4.6,4.7,4.8,4.9,5.0,5.2,5.3,5.5,5.7,5.8,5.9,Kentucky,5.16
0,2001.0,4.8,4.8,4.9,5.0,5.1,5.2,5.4,5.6,5.8,6.0,6.2,6.4,California,5.43
0,2001.0,2.9,2.9,3.0,3.0,3.0,3.1,3.1,3.2,3.2,3.3,3.4,3.5,Nebraska,3.13
0,2001.0,3.9,3.9,4.0,4.1,4.2,4.3,4.5,4.7,4.9,5.2,5.5,5.7,Tennessee,4.58
0,2001.0,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.7,4.8,5.0,5.2,Utah,4.41
0,2001.0,2.3,2.4,2.6,2.8,2.9,3.1,3.3,3.5,3.7,3.9,4.1,4.2,Virginia,3.23
0,2001.0,3.4,3.4,3.5,3.6,3.6,3.7,3.7,3.8,3.9,4.1,4.2,4.4,Minnesota,3.78
0,2001.0,4.8,4.8,4.8,4.9,5.0,5.0,5.1,5.2,5.2,5.3,5.4,5.6,Idaho,5.09
0,2001.0,4.3,4.4,4.4,4.5,4.6,4.7,4.8,4.9,5.1,5.2,5.3,5.4,Pennsylvania,4.8
0,2001.0,10.5,10.8,11.1,11.2,11.3,11.4,11.5,11.7,11.8,11.8,11.7,11.4,Puerto Rico,11.35
0,2001.0,4.8,4.9,5.0,5.1,5.1,5.1,5.2,5.3,5.5,5.7,6.0,6.2,Illinois,5.32
0,2001.0,3.7,3.7,3.7,3.8,3.9,4.0,4.2,4.4,4.6,4.9,5.1,5.3,New Jersey,4.27
0,2001.0,4.4,4.6,4.8,5.0,5.1,5.3,5.5,5.7,6.0,6.3,6.5,6.7,North Carolina,5.49
0,2001.0,4.7,4.6,4.6,4.6,4.6,4.5,4.5,4.5,4.5,4.5,4.4,4.5,Montana,4.54
0,2001.0,5.6,5.7,5.8,5.9,6.0,6.1,6.2,6.4,6.6,6.8,7.1,7.3,Washington,6.29
0,2001.0,3.0,3.1,3.2,3.2,3.2,3.2,3.3,3.3,3.4,3.5,3.7,3.8,Iowa,3.32
0,2001.0,5.0,5.0,5.0,5.1,5.1,5.2,5.4,5.6,5.9,6.1,6.4,6.6,Mississippi,5.53
0,2001.0,5.3,5.2,5.1,5.0,4.9,4.9,4.8,4.8,4.9,5.0,5.1,5.3,West Virginia,5.02
0,2001.0,3.9,4.0,4.0,4.0,4.0,4.1,4.1,4.2,4.3,4.5,4.6,4.8,Kansas,4.21
0,2001.0,4.7,4.7,4.7,4.7,4.8,4.8,4.9,5.1,5.4,5.6,5.8,6.0,Alabama,5.1
0,2001.0,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,3.8,Wyoming,3.8
0,2001.0,4.0,4.1,4.2,4.3,4.4,4.6,4.8,5.0,5.2,5.4,5.6,5.7,Arizona,4.78
0,2001.0,3.7,3.7,3.8,3.8,3.9,4.0,4.2,4.4,4.6,4.9,5.2,5.4,Ohio,4.3
0,2001.0,4.4,4.6,4.7,4.8,4.8,4.9,5.0,5.2,5.5,5.8,6.1,6.3,Michigan,5.18
0,2001.0,3.0,3.0,3.1,3.2,3.4,3.5,3.6,3.8,4.1,4.2,4.4,4.5,Oklahoma,3.65
0,2001.0,2.8,2.9,3.0,3.1,3.3,3.5,3.8,4.1,4.4,4.7,5.0,5.2,Colorado,3.82
0,2001.0,4.1,4.2,4.3,4.5,4.6,4.8,5.0,5.2,5.4,5.6,5.8,6.0,Texas,4.96
0,2001.0,4.4,4.4,4.4,4.4,4.3,4.3,4.4,4.6,4.7,4.9,5.1,5.2,Missouri,4.59
0,2001.0,4.6,4.7,4.8,4.8,4.9,4.9,5.1,5.3,5.5,5.7,6.0,6.1,Nevada,5.2
0,2001.0,3.8,3.9,4.0,4.1,4.2,4.3,4.4,4.5,4.7,5.8,5.9,6.0,Florida,4.63
0,2001.0,2.7,2.8,2.9,3.0,3.2,3.4,3.5,3.7,3.8,4.0,4.1,4.2,New Hampshire,3.44
0,2001.0,3.9,4.0,4.2,4.3,4.4,4.4,4.5,4.6,4.7,4.9,5.1,5.3,Wisconsin,4.53
0,2001.0,2.6,2.8,2.9,3.1,3.1,3.2,3.2,3.3,3.3,3.3,3.3,3.3,Connecticut,3.12
0,2001.0,2.8,2.8,2.8,2.8,2.8,2.8,2.9,2.9,3.0,3.1,3.2,3.3,North Dakota,2.93
0,2001.0,3.8,3.7,3.6,3.4,3.3,3.3,3.3,3.3,3.4,3.5,3.6,3.7,Delaware,3.49
0,2001.0,4.2,4.5,4.7,4.9,5.1,5.2,5.3,5.5,5.6,5.8,5.8,5.9,South Carolina,5.21
0,2001.0,3.6,3.6,3.6,3.6,3.7,3.8,4.0,4.2,4.3,4.5,4.6,4.6,Maryland,4.01
0,2001.0,3.3,3.4,3.5,3.7,3.8,3.9,4.0,4.0,4.0,4.1,4.1,4.1,Maine,3.82
0,2001.0,4.2,4.2,4.3,4.4,4.5,4.6,4.7,4.7,4.7,4.8,4.8,4.8,Rhode Island,4.56
0,2001.0,2.7,2.8,2.9,2.9,3.0,3.1,3.2,3.2,3.3,3.3,3.3,3.4,South Dakota,3.09
0,2001.0,5.8,5.7,5.7,5.5,5.5,5.4,5.5,5.6,5.8,6.0,6.2,6.2,Louisiana,5.74
0,2001.0,6.3,6.3,6.3,6.3,6.3,6.4,6.4,6.4,6.5,6.5,6.6,6.7,Alaska,6.42
0,2001.0,4.0,4.1,4.2,4.2,4.2,4.2,4.3,4.4,4.7,4.9,5.1,5.2,Hawaii,4.46
0,2001.0,4.5,4.6,4.7,4.8,4.9,4.9,5.0,5.0,5.1,5.2,5.3,5.4,Arkansas,4.95
0,2001.0,5.3,5.4,5.6,5.8,6.0,6.2,6.4,6.7,7.0,7.3,7.6,7.8,Oregon,6.42
0,2001.0,3.0,3.0,3.1,3.2,3.2,3.3,3.3,3.4,3.4,3.5,3.6,3.7,Vermont,3.31
