,Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,State,Mean
0,2001.0,3.3,3.5,3.7,3.8,3.9,4.0,4.2,4.4,4.7,4.9,5.1,5.3,Indiana,4.23
1,2002.0,5.4,5.4,5.4,5.4,5.3,5.2,5.1,5.1,5.0,5.0,5.0,5.0,Indiana,5.19
2,2003.0,5.0,5.0,5.1,5.2,5.4,5.5,5.5,5.5,5.5,5.4,5.3,5.2,Indiana,5.3
3,2004.0,5.2,5.2,5.3,5.3,5.3,5.3,5.3,5.3,5.4,5.5,5.6,5.6,Indiana,5.36
4,2005.0,5.7,5.7,5.6,5.5,5.4,5.3,5.4,5.4,5.5,5.4,5.4,5.3,Indiana,5.47
5,2006.0,5.2,5.1,5.1,5.1,5.2,5.2,5.2,5.1,5.1,5.0,4.9,4.8,Indiana,5.08
6,2007.0,4.7,4.6,4.5,4.5,4.4,4.4,4.5,4.5,4.6,4.6,4.7,4.7,Indiana,4.56
7,2008.0,4.7,4.7,4.8,5.0,5.3,5.5,5.8,6.1,6.5,6.9,7.5,8.2,Indiana,5.92
8,2009.0,8.9,9.5,10.0,10.3,10.5,10.6,10.6,10.5,10.5,10.6,10.7,10.8,Indiana,10.29
9,2010.0,11.0,11.0,10.9,10.8,10.6,10.4,10.3,10.1,10.0,9.9,9.7,9.4,Indiana,10.34
10,2011.0,9.2,9.0,8.9,8.9,9.0,9.2,9.3,9.4,9.4,9.2,9.0,8.8,Indiana,9.11
11,2012.0,8.6,8.4,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.3,8.4,8.4,Indiana,8.35
12,2013.0,8.5,8.4,8.3,8.1,8.0,7.8,7.6,7.5,7.2,7.0,6.7,6.5,Indiana,7.63
13,2014.0,6.4,6.3,6.2,6.1,6.1,6.0,5.9,5.9,5.8,5.7,5.6,5.5,Indiana,5.96
14,2015.0,5.4,5.3,5.1,5.0,4.9,4.8,4.7,4.6,4.6,4.5,4.6,4.6,Indiana,4.84
15,2016.0,4.6,4.7,4.7,4.7,4.6,4.5,4.4,4.3,4.3,4.2,4.1,4.0,Indiana,4.42
16,2017.0,3.8,3.7,3.6,3.5,3.5,3.5,3.6,3.6,3.5,3.5,3.4,3.4,Indiana,3.55
17,2018.0,3.3,3.2,3.2,3.2,3.2,3.3,3.4,3.5,3.5,3.5,3.5,3.5,Indiana,3.36
0,2001.0,4.9,4.9,4.9,4.9,4.8,4.8,4.8,4.9,4.9,5.0,5.1,5.2,New Mexico,4.92
1,2002.0,5.3,5.4,5.5,5.5,5.6,5.6,5.6,5.6,5.6,5.6,5.6,5.6,New Mexico,5.54
2,2003.0,5.6,5.7,5.7,5.8,5.8,5.9,5.9,6.0,6.0,5.9,5.9,5.9,New Mexico,5.84
3,2004.0,5.8,5.7,5.7,5.6,5.5,5.5,5.4,5.4,5.4,5.4,5.4,5.4,New Mexico,5.52
4,2005.0,5.4,5.4,5.4,5.3,5.3,5.2,5.1,5.0,4.9,4.8,4.7,4.5,New Mexico,5.08
5,2006.0,4.4,4.3,4.2,4.2,4.2,4.2,4.2,4.2,4.2,4.1,4.0,3.9,New Mexico,4.18
6,2007.0,3.9,3.8,3.7,3.7,3.7,3.7,3.7,3.7,3.7,3.8,3.8,3.9,New Mexico,3.76
7,2008.0,3.9,3.9,4.0,4.0,4.1,4.2,4.3,4.5,4.7,5.0,5.4,5.8,New Mexico,4.48
8,2009.0,6.2,6.7,7.1,7.5,7.7,7.8,7.9,7.9,7.8,7.8,7.8,7.9,New Mexico,7.51
9,2010.0,8.0,8.0,8.1,8.2,8.3,8.3,8.3,8.2,8.1,8.0,7.9,7.8,New Mexico,8.1
10,2011.0,7.7,7.5,7.4,7.4,7.4,7.4,7.5,7.5,7.6,7.6,7.6,7.6,New Mexico,7.52
11,2012.0,7.5,7.3,7.2,7.1,7.1,7.0,7.0,7.0,7.0,7.1,7.1,7.0,New Mexico,7.12
12,2013.0,7.0,7.0,6.9,6.9,6.9,6.9,6.9,6.9,7.0,7.0,7.0,6.9,New Mexico,6.94
13,2014.0,6.9,6.9,6.9,6.8,6.8,6.8,6.7,6.6,6.5,6.5,6.4,6.4,New Mexico,6.68
14,2015.0,6.5,6.5,6.6,6.6,6.6,6.5,6.5,6.5,6.5,6.5,6.5,6.6,New Mexico,6.53
15,2016.0,6.6,6.6,6.6,6.7,6.7,6.7,6.8,6.8,6.7,6.7,6.7,6.6,New Mexico,6.68
16,2017.0,6.5,6.4,6.3,6.3,6.2,6.1,6.1,6.0,6.0,6.0,6.0,6.0,New Mexico,6.16
17,2018.0,5.9,5.8,5.6,5.4,5.1,4.9,4.7,4.6,4.6,4.6,4.6,4.6,New Mexico,5.03
0,2001.0,3.5,3.6,3.6,3.7,3.7,3.8,3.9,4.1,4.3,4.5,4.8,4.9,Georgia,4.03
1,2002.0,5.0,5.1,5.1,5.1,5.0,5.0,4.9,4.9,4.9,5.0,5.0,5.0,Georgia,5.0
2,2003.0,5.0,5.0,5.0,5.0,5.1,5.0,5.0,4.9,4.7,4.5,4.4,4.3,Georgia,4.82
3,2004.0,4.3,4.4,4.4,4.6,4.7,4.8,4.8,4.9,4.9,5.0,5.1,5.2,Georgia,4.76
4,2005.0,5.3,5.4,5.4,5.4,5.4,5.3,5.3,5.4,5.4,5.3,5.2,5.1,Georgia,5.32
5,2006.0,5.0,4.8,4.8,4.8,4.8,4.8,4.8,4.7,4.7,4.6,4.5,4.4,Georgia,4.73
6,2007.0,4.3,4.3,4.3,4.3,4.4,4.4,4.5,4.6,4.7,4.8,4.9,5.0,Georgia,4.54
7,2008.0,5.1,5.2,5.4,5.5,5.7,5.9,6.1,6.3,6.8,7.3,7.7,8.2,Georgia,6.27
8,2009.0,8.7,9.1,9.5,9.7,9.9,10.0,10.2,10.3,10.4,10.4,10.5,10.5,Georgia,9.93
9,2010.0,10.5,10.6,10.6,10.5,10.4,10.3,10.3,10.4,10.5,10.6,10.6,10.6,Georgia,10.49
10,2011.0,10.5,10.4,10.3,10.3,10.3,10.3,10.4,10.3,10.2,10.1,9.9,9.8,Georgia,10.23
11,2012.0,9.7,9.6,9.5,9.5,9.4,9.3,9.1,9.0,8.9,8.8,8.8,8.7,Georgia,9.19
12,2013.0,8.7,8.6,8.6,8.5,8.4,8.3,8.2,8.1,7.9,7.8,7.7,7.6,Georgia,8.2
